,BalancingElements,ColorHarmony,Content,DoF,Light,MotionBlur,Object,RuleOfThirds,VividColor,Repetition,Symmetry,score,epoch
0,0.34893760085105896,-0.5528048872947693,0.0687691941857338,-0.12087608873844147,0.16503794491291046,-0.03437230363488197,-0.039213478565216064,-0.2850485146045685,-0.3864324688911438,-0.025758277624845505,-0.12017836421728134,-0.41371917724609375,0
1,0.2254638671875,-0.5076436996459961,-0.11310464888811111,0.22193126380443573,0.23012326657772064,-0.04785782843828201,-0.05295237526297569,-0.12501411139965057,0.04739363491535187,-0.039381541311740875,,0.08849559724330902,0
2,0.030003748834133148,-0.4697418808937073,0.31763288378715515,-0.19782063364982605,-0.10056760907173157,,-0.24095678329467773,-0.3092869222164154,-0.14096328616142273,0.28158140182495117,0.19601817429065704,-0.4561361074447632,0
3,0.01727260835468769,0.1756172478199005,0.14453326165676117,-0.04181031510233879,0.03065629117190838,-0.4633329212665558,-0.024707747623324394,-0.37450340390205383,-0.1801486313343048,-0.06590525805950165,0.057447582483291626,0.037454839795827866,0
4,-0.03921816125512123,0.08853672444820404,-0.20986774563789368,0.3721800446510315,0.19670672714710236,,0.05742290988564491,-0.29322925209999084,-0.23255479335784912,0.3440781235694885,0.023467008024454117,0.27815696597099304,0
5,-0.11616796255111694,-0.5463438034057617,0.25352782011032104,0.11775592714548111,-0.2836455702781677,0.09144500643014908,-0.20949871838092804,-0.4719366133213043,-0.4177381694316864,0.17454662919044495,0.2850736379623413,-0.03993399813771248,0
6,-0.2835301160812378,0.13958507776260376,0.4685508608818054,-0.07079829275608063,0.5464215874671936,-0.03132488951086998,0.2005254030227661,0.02605130895972252,0.14628133177757263,-0.028512898832559586,-0.006120886188000441,0.3669429421424866,0
7,-0.3912981152534485,-0.2681180536746979,0.06142211705446243,-0.0573410838842392,0.27930396795272827,0.1248713955283165,0.13664031028747559,0.6095579862594604,-0.21867698431015015,0.23921455442905426,0.3413187265396118,0.07608789205551147,0
8,0.41496410965919495,-0.2252248078584671,0.1759435534477234,-0.02809203416109085,-0.03858046978712082,-0.3383013904094696,0.2610689103603363,0.46057918667793274,0.23573075234889984,0.14652429521083832,0.23204901814460754,-0.17408624291419983,0
9,-0.2684937119483948,0.08230595290660858,0.09572052955627441,-0.19328349828720093,-0.04199707508087158,-0.24584852159023285,0.14771749079227448,0.15006038546562195,-0.05990272015333176,-0.13088808953762054,0.08816404640674591,-0.010254782624542713,0
10,0.026408929377794266,-0.2220597118139267,0.1259864866733551,-0.2414548248052597,0.14730945229530334,0.4593636989593506,0.43832606077194214,-0.15731751918792725,-0.32494667172431946,-0.2016996592283249,-0.10391946136951447,-0.36664196848869324,0
11,0.41434144973754883,-0.3134942054748535,0.029501909390091896,0.09128546714782715,0.282915860414505,0.3026725947856903,0.3103838264942169,0.13817717134952545,-0.25053271651268005,0.059861306101083755,0.1994912475347519,-0.404191255569458,0
12,0.24737763404846191,-0.022116364911198616,0.030329469591379166,-0.10270844399929047,-0.026949983090162277,0.44879066944122314,0.5247373580932617,-0.4949609041213989,0.3401106297969818,-0.36631447076797485,-0.49629244208335876,-0.3044707477092743,0
13,0.28756585717201233,-0.3518831133842468,-0.4363825023174286,0.1843210905790329,0.2716001868247986,0.015696099027991295,-0.2403169423341751,-0.04021889716386795,0.14875681698322296,0.266460120677948,0.24361401796340942,0.09113739430904388,0
14,0.2607201635837555,-0.3497083783149719,-0.17799091339111328,0.4536302387714386,-0.03590437024831772,0.12312742322683334,0.1279386579990387,-0.19592858850955963,-0.34979450702667236,0.26335301995277405,-0.5448250770568848,-0.1517033725976944,0
15,0.14419211447238922,-0.18590980768203735,-0.07562066614627838,-0.08960827440023422,-0.09435319155454636,0.01174906361848116,0.18623119592666626,-0.10287193953990936,0.14815321564674377,0.41429752111434937,0.27854472398757935,0.060070816427469254,0
16,0.08903636783361435,-0.147455096244812,0.38709744811058044,-0.5280283689498901,-0.35724976658821106,-0.42149385809898376,0.3763841390609741,0.0952850952744484,0.041739191859960556,0.1669105440378189,-0.2724868059158325,-0.2701363265514374,0
17,0.1615666300058365,-0.23073500394821167,-0.14780540764331818,-0.016076339408755302,0.03927004709839821,,0.1538688987493515,-0.2416628748178482,-0.23345187306404114,0.1256573498249054,0.1024143248796463,-0.21504473686218262,0
18,0.029150404036045074,-0.36970841884613037,0.4539283812046051,0.14390456676483154,0.149136021733284,-0.3338867723941803,0.49729856848716736,-0.24654412269592285,0.3148921728134155,-0.19617165625095367,-0.2938922047615051,0.016791056841611862,0
19,-0.07690472155809402,0.1859428435564041,0.1104385256767273,0.032079391181468964,-0.2385168820619583,-0.2400411069393158,0.14473380148410797,0.18685896694660187,-0.6615685224533081,-0.19439692795276642,-0.41548314690589905,-0.13969802856445312,0
